SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
Allentown High School (New Jersey),NJ,,,,32,2019,HS,NJ,,1
Alliance Computing Solutions,NY,NEW YORK,40.76156,-73.831481,"2,587",2019,,NY,,1
Alliant International University-San Diego,CA,CALIFORNIA,32.897056,-117.094398,"2,588",2019,,CA,,1
Allstate Hairstyling & Barber College,OH,OHIO,41.484002,-81.704403,"2,589",2019,,OH,,1
Alma College,MI,MICHIGAN,43.379236,-84.670073,33,2019,3,Mid American Intercollegiate Athletic Association,,1
Alpena Community College,MI,MICHIGAN,45.081647,-83.445069,"2,590",2019,,MI,,1
Alta High School,UT,,,,34,2019,HS,UT,,1
Altoona Beauty School Inc,PA,PENNSYLVANIA,40.501337,-78.388254,"2,591",2019,,PA,,1
Alvernia University,PA,PENNSYLVANIA,40.310028,-75.936754,35,2019,3,Commonwealth Conference,X,1
Alverno College,WI,WISCONSIN,42.983518,-87.965498,"2,592",2019,,WI,,1
Alvin Community College,TX,TEXAS,29.396581,-95.241078,36,2019,JC,Southwest Junior College Conference,X,1
Alvin High School (TX),TX,TEXAS,29.41706,-95.25076,,2019,HS,TX,X,1
Amarillo College,TX,TEXAS,35.18841,-101.847104,"2,593",2019,,TX,,1
Amberton University,TX,TEXAS,32.859937,-96.653028,"2,594",2019,,TX,,1
Ambiance Beauty & Barber Academy Inc,FL,FLORIDA,28.117559,-80.673575,"2,595",2019,,FL,,1
Ambria College of Nursing,IL,ILLINOIS,42.075628,-88.2109,"2,596",2019,,IL,,1
American Academy McAllister Institute of Funeral Service,NY,NEW YORK,40.769031,-73.993782,"2,597",2019,,NY,,1
American Academy of Acupuncture and Oriental Medicine,MN,MINNESOTA,45.015783,-93.181424,"2,598",2019,,MN,,1
American Academy of Art,IL,ILLINOIS,41.877824,-87.624396,"2,599",2019,,IL,,1
American Academy of Cosmetology,FL,FLORIDA,30.12368,-81.798731,"2,600",2019,,FL,,1
American Academy of Cosmetology-Delray Beach,FL,FLORIDA,26.46102,-80.119201,"2,601",2019,,FL,,1
American Academy of Dramatic Arts-Los Angeles,CA,CALIFORNIA,34.095315,-118.344097,"2,602",2019,,CA,,1
American Academy of Dramatic Arts-New York,NY,NEW YORK,40.745545,-73.984843,"2,603",2019,,NY,,1
American Academy of Personal Training,NY,NEW YORK,40.722342,-74.002465,"2,604",2019,,NY,,1
American Academy of Personal Training-Boston Campus,MA,MASSACHUSETTS,42.350664,-71.076196,"2,605",2019,,MA,,1
American Advanced Technicians Institute,FL,FLORIDA,25.884901,-80.323025,"2,606",2019,,FL,,1
American Baptist College,TN,TENNESSEE,36.201155,-86.789301,"2,607",2019,,TN,,1
American Baptist Seminary of the West,CA,CALIFORNIA,37.865252,-122.256149,"2,608",2019,,CA,,1
American Beauty Academy,UT,UTAH,40.034634,-111.733488,"2,609",2019,,UT,,1
American Beauty Academy-Murray Campus,UT,UTAH,40.64445,-111.866621,"2,610",2019,,UT,,1
American Beauty College,CA,CALIFORNIA,34.069367,-117.936959,"2,611",2019,,CA,,1
